?cls	?pred	?val	?synType
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001026>	<http://www.w3.org/2000/01/rdf-schema#label>	"creator role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010017>	<http://www.w3.org/2000/01/rdf-schema#label>	"computer science"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000219>	<http://www.w3.org/2000/01/rdf-schema#label>	"training service"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001062>	<http://www.w3.org/2000/01/rdf-schema#label>	"speaker role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000122>	<http://www.w3.org/2000/01/rdf-schema#label>	"data curation service"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010027>	<http://www.w3.org/2000/01/rdf-schema#label>	"panel discussion"@en	
<http://purl.obolibrary.org/obo/BFO_0000034>	<http://www.w3.org/2000/01/rdf-schema#label>	"function"@en	
<http://purl.obolibrary.org/obo/IAO_0000303>	<http://www.w3.org/2000/01/rdf-schema#label>	"institutional identification"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000223>	<http://www.w3.org/2000/01/rdf-schema#label>	"website"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000139>	<http://www.w3.org/2000/01/rdf-schema#label>	"funding organization role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000141>	<http://www.w3.org/2000/01/rdf-schema#label>	"license"@en	
<http://edamontology.org/format_3262>	<http://www.w3.org/2000/01/rdf-schema#label>	"OWL/XML"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001015>	<http://www.w3.org/2000/01/rdf-schema#label>	"FactGrid identifier"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000218>	<http://www.w3.org/2000/01/rdf-schema#label>	"software application"@en	
<http://purl.obolibrary.org/obo/IAO_8000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"base ontology module"@en	
<http://purl.obolibrary.org/obo/IAO_0000028>	<http://www.w3.org/2000/01/rdf-schema#label>	"symbol"@en	
<http://purl.obolibrary.org/obo/IAO_0000577>	<http://www.w3.org/2000/01/rdf-schema#label>	"centrally registered identifier symbol"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010026>	<http://www.w3.org/2000/01/rdf-schema#label>	"symposium"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000228>	<http://www.w3.org/2000/01/rdf-schema#label>	"service product role"@en	
<http://edamontology.org/format_2376>	<http://www.w3.org/2000/01/rdf-schema#label>	"RDF format"	
<http://purl.obolibrary.org/obo/BFO_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"independent continuant"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010006>	<http://www.w3.org/2000/01/rdf-schema#label>	"agriculture"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000111>	<http://www.w3.org/2000/01/rdf-schema#label>	"contacting process"@en	
<http://purl.obolibrary.org/obo/IAO_0000129>	<http://www.w3.org/2000/01/rdf-schema#label>	"version number"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001056>	<http://www.w3.org/2000/01/rdf-schema#label>	"status specification"@en	
<http://purl.obolibrary.org/obo/BFO_0000141>	<http://www.w3.org/2000/01/rdf-schema#label>	"immaterial entity"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010035>	<http://www.w3.org/2000/01/rdf-schema#label>	"data transformation process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001012>	<http://www.w3.org/2000/01/rdf-schema#label>	"Wikidata identifier"@en	
